galaxy,morphology,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation,success,reason
ESO079-G014,spiral,15.0,0.41,16.67,2.976351441631313e-11,3.606570700395732e-12,4.832930238571752e-11,1.4104454280414542e-12,0.6158482110660254,0.07675875778228634,-5.004663963212619,0.9999997202021835,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
ESO116-G012,spiral,15.0,0.25,9.86,4.832930238571752e-11,3.56238969429818e-12,1.274274985703132e-10,3.2811549452371135e-12,0.3792690190732254,0.029612865527881217,-20.96153039773681,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
ESO563-G021,spiral,30.0,0.45,42.41,2.976351441631313e-11,2.829403773528779e-12,7.847599703514623e-11,3.063675336552608e-12,0.3792690190732238,0.03897629985128713,-15.925857079690893,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
IC2574,spiral,,,,,,,,,,,,,False,Scale dependence failed
IC4202,spiral,32.0,0.77,25.9,6.951927961775591e-12,2.5280515190807024e-12,2.976351441631313e-11,1.5484685997344197e-12,0.23357214690901215,0.0858027883754165,-8.932435269324865,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0024,spiral,29.0,0.21,11.27,1.9198120673958648e-10,1.4174201081335107e-11,1.274274985703132e-10,6.2921835333648255e-12,1.5065916610899586,0.1338179503169764,3.7856779295302907,7.664505282523049e-05,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC0055,spiral,21.0,1.23,13.5,1.8329944744044902e-11,7.882955220016605e-13,2.976351441631313e-11,1.599244749147066e-12,0.6158528353761348,0.042384832562047434,-9.063316790540807,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0100,spiral,21.0,0.23,9.62,1.832979292667501e-11,2.2055354383533932e-12,4.832930238571752e-11,4.297973733518287e-12,0.3792687256353179,0.05674710782468394,-10.938553490380272,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0247,spiral,26.0,1.08,14.54,4.832930238571752e-11,1.2700034910289028e-12,4.832930238571752e-11,1.8709722242933116e-12,1.0,0.046789274128571354,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0289,spiral,28.0,1.5,71.12,2.976351441631313e-11,1.3364666548102899e-12,2.976351441631313e-11,1.3435419052821212e-12,1.0,0.0636705331195431,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
